CoreNumber,LineCurrent(A),Load(Ω),VLoad(V),IWinding(mA),Power(mW)
7,40,90,8.33,93.2,776.356
7,45,90,8.88,99.1,880.008
7,50,90,9.32,104.2,971.144
7,55,90,9.73,109.1,1061.543
7,60,90,10.1,112.9,1140.29
7,65,90,10.39,117.2,1217.708
7,70,90,10.7,120.4,1288.28
7,75,90,10.89,124.1,1351.449
7,80,90,11.32,126.8,1435.376
7,85,90,11.38,129.9,1478.262
7,90,90,11.72,132.5,1552.9
7,95,90,11.921,135.2,1611.7192
7,100,90,12.11,137.6,1666.336
7,5,100,1.316,13.74,18.08184
7,10,100,2.549,26.31,67.06419
7,15,100,3.768,38.86,146.42448
7,20,100,4.981,51.38,255.92378
7,25,100,6.202,64.7,401.2694
7,30,100,7.25,75.7,548.825
7,35,100,7.99,83.6,667.964
7,40,100,8.64,90.1,778.464
7,45,100,9.15,95.5,873.825
7,50,100,9.6,99.9,959.04
7,55,100,9.98,104.4,1041.912
7,60,100,10.33,108.7,1122.871
7,65,100,10.68,112.1,1197.228
7,70,100,10.95,115.9,1269.105
7,75,100,11.23,118.6,1331.878
7,80,100,11.52,121.2,1396.224
7,85,100,11.76,123.8,1455.888
7,90,100,12.01,126.4,1518.064
7,95,100,12.31,128.7,1584.297
7,100,100,12.41,131.2,1628.192
7,5,120,1.581,12.73,20.12613
7,10,120,3.132,24.99,78.26868
7,15,120,4.671,37.56,175.44276
7,20,120,6.12,49.7,304.164
7,25,120,7.35,59.4,436.59
7,30,120,8.23,66.8,549.764
7,35,120,8.91,72.2,643.302
7,40,120,9.49,77.1,731.679
7,45,120,9.97,81.1,808.567
7,50,120,10.41,84.5,879.645
7,55,120,10.82,87.9,951.078
7,60,120,11.17,90.7,1013.119
7,65,120,11.51,93.2,1072.732
7,70,120,11.79,96.1,1133.019
7,75,120,12.08,98.3,1187.464
7,80,120,12.37,100.4,1241.948
7,85,120,12.63,102.5,1294.575
7,90,120,12.87,104.6,1346.202
7,95,120,13.11,106.7,1398.837
7,100,120,13.31,108.7,1446.797
7,5,150,1.82,12.08,21.9856
7,10,150,3.66,24.02,87.9132
7,15,150,5.47,35.84,196.0448
7,20,150,6.95,46.16,320.812
7,25,150,8.01,53.61,429.4161
7,30,150,8.81,59.27,522.1687
7,35,150,9.44,64.2,606.048
7,40,150,10.01,68.7,687.687
7,45,150,10.47,72.1,754.887
7,50,150,10.86,73.5,798.21
7,55,150,11.26,76.4,860.264
7,60,150,11.61,78.8,914.868
7,65,150,11.93,81.4,971.102
7,70,150,12.23,83.7,1023.651
7,75,150,12.55,85.7,1075.535
7,80,150,12.81,87.6,1122.156
7,85,150,12.04,89.6,1078.784
7,90,150,13.31,91.2,1213.872
7,95,150,13.55,93.4,1265.57
7,100,150,13.74,94.7,1301.178
7,5,210,2.24,11.17,25.0208
7,10,210,4.53,22.11,100.1583
7,15,210,6.53,32.14,209.8742
7,20,210,7.93,39.01,309.3493
7,25,210,8.96,44.11,395.2256
7,30,210,9.64,47.33,456.2612
7,35,210,10.32,51.03,526.6296
7,40,210,10.88,53.67,583.9296
7,45,210,11.37,56.21,639.1077
7,50,210,11.83,58.14,687.7962
7,55,210,12.24,61.2,749.088
7,60,210,12.62,62.9,793.798
7,65,210,12.97,64.9,841.753
7,70,210,13.3,66.6,885.78
7,75,210,13.61,68.2,928.202
7,80,210,13.92,69.4,966.048
7,85,210,14.19,71.1,1008.909
7,90,210,14.46,72.3,1045.458
7,95,210,14.72,73.6,1083.392
7,100,210,14.97,74.9,1121.253
7,5,250,2.59,10.22,26.4698
7,10,250,5.15,20.38,104.957
7,15,250,7.14,28.51,203.5614
7,20,250,8.49,34.06,289.1694
7,25,250,9.42,37.67,354.8514
7,30,250,10.19,41.12,419.0128
7,35,250,10.82,43.54,471.1028
7,40,250,11.41,45.93,524.0613
7,45,250,11.91,48.06,572.3946
7,50,250,12.37,49.84,616.5208
7,55,250,12.4,50.03,620.372
7,60,250,12.82,51.42,659.2044
7,65,250,13.21,53.12,701.7152
7,70,250,13.57,54.52,739.8364
7,75,250,13.91,55.83,776.5953
7,80,250,14.23,56.82,808.5486
7,85,250,14.81,58.35,864.1635
7,90,250,15.11,58.97,891.0367
7,95,250,15.36,59.52,914.2272
7,100,250,15.62,59.94,936.2628
7,5,360,3.05,8.91,27.1755
7,10,360,6.01,17.42,104.6942
7,15,360,7.88,22.77,179.4276
7,20,360,9.22,26.76,246.7272
7,25,360,10.17,29.58,300.8286
7,30,360,10.94,31.85,348.439
7,35,360,11.59,33.64,389.8876
7,40,360,12.18,35.33,430.3194
7,45,360,12.73,36.97,470.6281
7,50,360,13.26,38.55,511.173
7,55,360,13.68,39.71,543.2328
7,60,360,14.08,40.88,575.5904
7,65,360,14.46,41.85,605.151
7,70,360,14.82,42.95,636.519
7,75,360,15.16,43.91,665.6756
7,80,360,15.5,44.83,694.865
7,85,360,15.82,45.59,721.2338
7,90,360,16.12,46.45,748.774
7,95,360,16.38,47.18,772.8084
7,100,360,16.71,47.82,799.0722
7,5,460,3.35,7.67,25.6945
7,10,460,6.61,15.16,100.2076
7,15,460,8.36,19.18,160.3448
7,20,460,9.64,22.11,213.1404
7,25,460,10.56,24.29,256.5024
7,30,460,11.39,26.11,297.3929
7,35,460,12.13,27.82,337.4566
7,40,460,12.75,29.28,373.32
7,45,460,13.31,30.45,405.2895
7,50,460,13.81,31.74,438.3294
7,55,460,14.28,32.83,468.8124
7,60,460,14.71,33.71,495.8741
7,65,460,15.11,34.65,523.5615
7,70,460,15.47,35.59,550.5773
7,75,460,15.87,36.41,577.8267
7,80,460,16.21,37.17,602.5257
7,85,460,16.51,37.8,624.078
7,90,460,16.81,38.56,648.1936
7,95,460,17.13,39.28,672.8664
7,100,460,17.43,39.84,694.4112
